1	1	1	0.32	
1	1	2	0.67	
1	1	3	1.26	
1	1	4	1.77	
1	1	5	1.84	
1	1	6	1.87	
1	1	7	2.24	
1	1	8	2.49	
1	1	9	2.69	
1	1	10	2.72	
1	1	11	2.52	
1	1	12	3.34	
1	1	13	3.41	
1	1	14	3.63	
1	1	15	3.43	
1	1	16	3.42	
1	2	1	0.93	
1	2	2	0.82	
1	2	3	1.41	
1	2	4	1.61	
1	2	5	1.82	
1	2	6	1.65	
1	2	7	2.34	
1	2	8	2.26	
1	2	9	3.14	
1	2	10	3.69	
1	2	11	3.04	
1	2	12	3.1	
1	2	13	3.48	
1	2	14	3.4	
1	2	15	3.33	
1	2	16	3.18	
1	3	1	1.12	
1	3	2	1.42	
1	3	3	1.82	
1	3	4	1.75	
1	3	5	2.31	
1	3	6	2.84	
1	3	7	2.4	
1	3	8	2.34	
1	3	9	2.85	
1	3	10	2.68	
1	3	11	3.24	
1	3	12	2.83	
1	3	13	3.22	
1	3	14	3.24	
1	3	15	3.49	
1	3	16	3.83	
1	4	1	1.66	
1	4	2	1.69	
1	4	3	2.4	
1	4	4	2.14	
1	4	5	1.77	
1	4	6	2.81	
1	4	7	2.71	
1	4	8	2.76	
1	4	9	2.79	
1	4	10	3.72	
1	4	11	3.31	
1	4	12	3.25	
1	4	13	3.26	
1	4	14	3.23	
1	4	15	3.5	
1	4	16	3.39	
2	1	1	0.73	
2	1	2	0.76	
2	1	3	1.55	
2	1	4	0.88	
2	1	5	2.02	
2	1	6	2.13	
2	1	7	2.31	
2	1	8	2.47	
2	1	9	3.01	
2	1	10	2.49	
2	1	11	2.87	
2	1	12	3.43	
2	1	13	3.55	
2	1	14	3.75	
2	1	15	3.31	
2	1	16	3.33	
2	2	1	1.11	
2	2	2	2.03	
2	2	3	2.57	
2	2	4	2.9	
2	2	5	2.57	
2	2	6	2.59	
2	2	7	2.88	
2	2	8	2.88	
2	2	9	3.25	
2	2	10	2.91	
2	2	11	3.95	
2	2	12	4.34	
2	2	13	3.44	
2	2	14	3.76	
2	2	15	4.02	
2	2	16	4.16	
2	3	1	3.31	
2	3	2	3.52	
2	3	3	2.91	
2	3	4	3.24	
2	3	5	3.09	
2	3	6	3.82	
2	3	7	3.38	
2	3	8	3.5	
2	3	9	4.25	
2	3	10	4.37	
2	3	11	3.56	
2	3	12	3.88	
2	3	13	3.51	
2	3	14	4.06	
2	3	15	3.56	
2	3	16	4.53	
2	4	1	4.0	
2	4	2	3.71	
2	4	3	3.45	
2	4	4	4.11	
2	4	5	3.69	
2	4	6	4.25	
2	4	7	3.6	
